date,unixTimeStamp_x,transaction_count,unixTimeStamp_y,new_address_count,unixTimeStamp,eth_usd_price,gas_used,gas_utilization,avg_block_tx_count,base_fee_gwei,eth_supply,eth2_staking,burnt_fees,gas_price_low,gas_price_average,gas_price_high,gas_price_base_fee,gas_usage_ratio,total_nodes,eth_btc_ratio,Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count
01/01/2022,1640995200,1180989,1640995200,121458,1640995200,3766.74,29992112.0,99.97370666666666,321.0,7.094909389,109838249.77944385,1402299.7149588368,2319438.0453994297,7.094909389,7.141676756752922,7.855844424633652,7.094909389,0.07094909389,8354.0,0.0489656528371151,522711,389723,303859
01/01/2023,1672531200,742785,1672531200,170532,1672531200,1200.1,29873565.0,99.57855,44.0,13.511877887,113762666.2178,2326479.714958837,2921021.6070432654,13.511877887,13.60094385352998,14.961038224038647,13.511877887,0.13511877887,8638.0,0.0156006732532168,281764,230298,130374
01/01/2024,1704067200,1101465,1704067200,84381,1704067200,2352.65,18428822.0,61.429406666666665,116.0,11.058938485,117558666.2178,2603859.714958837,3651021.607043266,11.058938485,11.131835461512036,12.24501899551374,11.058938485,0.11058938485,8922.0,0.0305832213392055,483842,413772,198165
01/01/2025,1735689600,1040808,1735689600,96015,1735689600,3353.28,12790955.0,42.636516666666665,121.0,3.186303726,121365066.2178,2823459.714958837,4383021.607043265,3.186303726,3.2073068184929614,3.528037496841742,3.186303726,0.03186303726,9206.0,0.0435908887647253,396439,321486,212044
01/02/2022,1641081600,1158900,1641081600,112483,1641081600,3830.92,29992112.0,99.97370666666666,321.0,7.094909389,109849833.34108768,1405923.7149588368,2320254.483755594,7.094909389,7.141676756752922,7.855844424633652,7.094909389,0.07094909389,8355.0,0.0497999593194012,487903,345413,291480
01/02/2023,1672617600,920276,1672617600,115145,1672617600,1213.98,29873565.0,99.57855,44.0,13.511877887,113773066.2178,2327913.714958837,2923021.6070432654,13.511877887,13.60094385352998,14.961038224038647,13.511877887,0.13511877887,8639.0,0.0157811060044497,339858,279172,155484
01/02/2024,1704153600,1128657,1704153600,97238,1704153600,2356.28,18428822.0,61.429406666666665,116.0,11.058938485,117569066.2178,2604459.714958837,3653021.607043266,11.058938485,11.131835461512036,12.24501899551374,11.058938485,0.11058938485,8923.0,0.0306304094434545,459434,381274,229114
01/02/2025,1735776000,1086430,1735776000,102683,1735776000,3452.59,12790955.0,42.636516666666665,121.0,3.186303726,121375466.2178,2824059.714958837,4385021.607043265,3.186303726,3.2073068184929614,3.528037496841742,3.186303726,0.03186303726,9207.0,0.0448818669005281,443330,362686,234611
01/03/2022,1641168000,1209173,1641168000,121961,1641168000,3765.16,29992112.0,99.97370666666666,321.0,7.094909389,109861411.42327946,1409541.7149588368,2321076.401563813,7.094909389,7.141676756752922,7.855844424633652,7.094909389,0.07094909389,8356.0,0.048945113662263,523598,370451,316066
01/03/2023,1672704000,948116,1672704000,118707,1672704000,1214.11,29873565.0,99.57855,44.0,13.511877887,113783466.2178,2329341.714958837,2925021.6070432654,13.511877887,13.60094385352998,14.961038224038647,13.511877887,0.13511877887,8640.0,0.0157827959365578,349277,290073,159779
